DATE,GDPChg,ConsChg,InvChg,GovtChg,NetExChg,UnempChg,lag_ConsChg,lag_UnempChg
1997-07-01,0.016347244,0.01710991,0.020506094,0.006881317,0.059575188,-0.003898635,0.00453216,-0.003883495
1997-10-01,0.011114051,0.011876081,0.030564057,0.016486162,0.204576312,-0.001956947,0.01710991,-0.003898635
1998-01-01,0.011538068,0.010322129,0.03987591,0.007276477,0.16761147,-0.001960784,0.011876081,-0.001956947
1998-04-01,0.011811422,0.01766084,0.04611607,0.000993969,0.17517958,-0.003929273,0.010322129,-0.001960784
1998-07-01,0.016876605,0.013158791,0.016823447,-0.003918936,0.08231258,-0.001972387,0.01766084,-0.003929273
1998-10-01,0.019581261,0.014681958,0.03866948,0.015928506,-0.001406313,-0.001976285,0.013158791,-0.001972387
1999-01-01,0.013371794,0.010454624,0.014172735,0.006661303,0.191639656,-0.001980198,0.014681958,-0.001976285
1999-04-01,0.011766822,0.015513126,0.029987193,-0.002271032,0.183593457,-0.001984127,0.010454624,-0.001980198
1999-07-01,0.016440935,0.011970403,0.003374088,0.003101912,0.129820113,0,0.015513126,-0.001984127
1999-10-01,0.021978248,0.013921499,0.020358577,0.021183568,0.067095923,-0.001988072,0.011970403,0
2000-01-01,0.010450752,0.015253149,0.016974825,-0.000467271,0.176957762,-0.001992032,0.013921499,-0.001988072
2000-04-01,0.024670938,0.009297021,0.044830619,-0.015147768,0.009505194,0,0.015253149,-0.001992032
2000-07-01,0.007789025,0.009948293,0.009042007,-0.002068084,0.066518405,0,0.009297021,0
2000-10-01,0.010758602,0.008877431,0.016212541,-0.002108323,0.048167398,-0.001996008,0.009948293,0
2001-01-01,0.003551211,0.003567942,-0.011784205,0.019696175,-0.038293282,0,0.008877431,-0.001996008
2001-04-01,0.012280618,0.002714486,-0.013152765,-0.008127314,-0.088064878,0,0.003567942,0
2001-07-01,0.000253721,0.003353976,-0.035777062,0.014082697,0.007583794,0,0.002714486,0
2001-10-01,0.005486505,0.01474398,-0.011857534,0.023413834,-0.022434533,0,0.003353976,0
2002-01-01,0.012576266,0.003200075,-0.027526803,0.010531445,0.057894797,0,0.01474398,0
2002-04-01,0.009291982,0.005300809,-0.031961334,0.020052674,0.112084651,0,0.003200075,0
2002-07-01,0.009307003,0.007092695,-0.028372126,0.016611036,0.037261032,0,0.005300809,0
2002-10-01,0.005969311,0.004181629,-0.01017827,0.028494585,0.095223788,0,0.007092695,0
2003-01-01,0.011264486,0.004971681,-0.004647555,0.008596865,0.053965315,0,0.004181629,0
2003-04-01,0.012519144,0.011237116,-0.008390888,0.032402454,-0.00535203,0,0.004971681,0
2003-07-01,0.022600559,0.01454013,-0.006971664,0.016971056,-0.00487382,0,0.011237116,0
2003-10-01,0.016347907,0.007395225,-0.015086817,0.031642912,0.015892842,0,0.01454013,0
2004-01-01,0.014629606,0.010217341,-0.009988426,0.019020389,0.085242348,0,0.007395225,0
2004-04-01,0.016019814,0.006167343,0.012142786,0.020090539,0.111216291,0,0.010217341,0
2004-07-01,0.015258341,0.009494777,0.002564302,0.014395543,0.037811152,0,0.006167343,0
2004-10-01,0.015716203,0.010303811,0.016578211,0.029419764,0.078929679,0,0.009494777,0
2005-01-01,0.020089463,0.00803471,0.019073284,0.023801026,-0.012585963,0,0.010303811,0
2005-04-01,0.012445187,0.010446889,0.059433248,0.007658154,0.032991367,0,0.00803471,0
2005-07-01,0.017787094,0.007478071,0.016317135,0.012277681,0.053427224,0,0.010446889,0
2005-10-01,0.013387347,0.00375826,0.027144124,0.029964917,0.078509863,0,0.007478071,0
2006-01-01,0.019912876,0.011211765,0.021508609,0.024569505,-0.017880774,0,0.00375826,0
2006-04-01,0.011216282,0.005296883,0.04959172,0.005839815,-0.006747759,0,0.011211765,0
2006-07-01,0.007795463,0.006056762,0.011922189,0.010324414,0.045949541,0,0.005296883,0
2006-10-01,0.011351138,0.009742307,0.033599802,0.020365644,-0.10665829,0,0.006056762,0
2007-01-01,0.011842143,0.005831286,0.022211589,0.019520349,0.004554065,0,0.009742307,0
2007-04-01,0.013312259,0.003334301,0.039720963,0.002035331,0.006300493,0,0.005831286,0
2007-07-01,0.010218725,0.003961918,0.060291067,0.015784968,-0.032892928,0,0.003334301,0
2007-10-01,0.00810464,0.001431397,0.066575807,0.024592311,-0.006230349,0.002,0.003961918,0
2008-01-01,-0.001164057,-0.002024914,0.022991386,0.022582958,0.070201041,0.003992016,0.001431397,0.002
2008-04-01,0.009827641,0.00187983,0.006873274,0.005765453,0.009703601,0.003976143,-0.002024914,0.003992016
2008-07-01,0.001835717,-0.007872531,0.001917642,0.05612291,0.013559285,0.005940594,0.00187983,0.003976143
2008-10-01,-0.020048099,-0.011757407,0.01939102,0.067341498,-0.220607282,0.007874016,-0.007872531,0.005940594
2009-01-01,-0.011377151,-0.003300865,-0.036928418,0.03991998,-0.356679796,0.005859375,-0.011757407,0.007874016
2009-04-01,-0.002718827,-0.004276891,-0.039229928,0.037596497,-0.137646959,0.009708738,-0.003300865,0.005859375
2009-07-01,0.002949359,0.006243942,-0.059309145,0.031575948,0.217072419,0.009615385,-0.004276891,0.009708738
2009-10-01,0.0124927,0.000121671,-0.060835865,0.033713417,0.111277662,0.00952381,0.006243942,0.009615385
2010-01-01,0.007442959,0.005221059,-0.016587163,0.037507994,0.077942436,0.009433962,0.000121671,0.00952381
