date,symbol,currassets,totassets,cogs,longtdebt,depamort,ebit,ebitda,currliab,totliab,netincome,rev,tax,roe,tat,de,pm
20130131,BBY,12047,16787,33439,1153,996,1148,2144,10810,13072,-441,45085,231,-0.118707941,2.6857091797,3.5187079408,-0.009781524
20130531,5938B,1772.6,9794.7,723.3,5926.1,195.8,840.5,1036.3,564.1,7826.1,-623.4,3052.9,-117.7,-0.316671746,0.3116889746,3.9754647973,-0.204199286
20130731,NIMU,0.805,0.81,0.036,1.2,0.005,-0.379,-0.374,0.758,1.958,-0.507,0.109,0,0.4416376307,0.1345679012,-1.705574913,-4.651376147
20130430,HRB,2462.343,4537.779,1442.663,905.958,92.407,766.404,858.811,2012.205,3274.232,433.948,2905.943,236.853,0.343436374,0.6403888334,2.5913021043,0.1493312154
20130430,BOBE,146.714,1013.837,1266.974,0.816,79.482,110.856,190.338,340.884,432.706,-2.862,1608.909,-52.48,-0.004924879,1.5869503678,0.7445928715,-0.001778845
20130630,BOLT,53.72,83.086,29.246,0,1.67,10.541,12.211,8.398,12.377,6.7,57.842,3.491,0.0947545574,0.6961702333,0.1750413667,0.1158327859
20130630,BWL.A,5.535,36.725,19.748,0,1.421,1.762,3.183,3.054,5.693,3.155,23.857,0.712,0.1016692447,0.6496119809,0.1834557876,0.1322463009
20130731,BRC,512.49,1438.683,504.375,201.15,40.124,149.997,190.121,323.497,607.886,-154.535,1152.109,42.07,-0.186008134,0.8008081002,0.7316901722,-0.134132274
20130630,BGG,858.981,1447.551,1459.807,225,54.79,73.59,128.38,274.755,779.613,-33.657,1862.498,-18.484,-0.050389407,1.2866544944,1.1671936617,-0.018070892
20130331,BT,7020.685,37718.142,18889.457,12575.246,4319.37,5118.522,9437.892,11472.234,38116.199,3173.818,28327.349,622.913,-7.973275184,0.7510271582,-95.75563048,0.1120407702
20130430,BF.B,1821,3626,843,997,51,897,948,473,1998,591,2849,274,0.363022113,0.7857142857,1.2272727273,0.2074412074
20130131,BWS,772.428,1171.259,1529.816,198.823,54.783,94.509,149.292,469.109,745.358,27.491,2598.065,11.343,0.0645478644,2.2181814611,1.7500733739,0.0105813365
20130131,0015B,879.654,2478.082,2530.124,1335.532,166.786,149.42,316.206,740.055,2558.351,25.301,4165.504,3.864,-0.315202631,1.680938726,-31.87221717,0.0060739349
20130531,3CXEE,16.439,17.602,0.514,0,0.011,4.485,4.496,2.155,2.155,3.208,5.426,1.124,0.2076778663,0.308260425,0.1395092898,0.5912274235
20130430,BUKS,17.573,43.86,34.702,10.155,3.276,1.503,4.779,10.131,20.286,-0.148,50.829,-0.816,-0.006278103,1.1588919289,0.8605243064,-0.002911724
20130331,CAE,1333.8,3878.7,1346.1,1097,146.4,291.2,437.6,1002.8,2744.2,139.4,2104.5,35.1,0.1228735126,0.542578699,2.4188629352,0.0662390116
20130331,ACXM,461.096,1187.706,760.055,237.4,81.771,104.729,186.5,224.576,568.338,57.607,1099.359,33.058,0.0930093256,0.9256154301,0.9176095633,0.0524005352
20130331,CSS,210.434,289.18,246.242,0,7.594,29.684,37.278,35.377,40.202,15.227,364.193,7.049,0.061158014,1.2593989902,0.1614680815,0.041810249
20130930,CBT,1495,4233,2599,1020,190,321,511,844,2150,153,3463,58,0.0734517523,0.8180959131,1.0321651464,0.0441813457
20130630,CACI,727.975,2501.265,2535.606,300.79,54.078,280.241,334.319,742.494,1293.693,151.689,3681.99,92.347,0.1256148702,1.4720511421,1.0713174867,0.0411975589
20130228,CAMP,106.769,150.771,122.665,2.434,2.764,15.98,18.744,28.949,33.222,44.626,180.579,-29.178,0.3796374278,1.1977038025,0.2826225659,0.2471272961
20130731,CPB,2221,8323,4667,2544,396,1237,1633,3282,7113,458,8052,275,0.3785123967,0.9674396251,5.8785123967,0.0568802782
20130228,STZ,2471.2,7638.1,1564.6,3277.8,115.4,556.7,672.1,677.9,4777.8,387.8,2796.1,128.6,0.1355801839,0.3660727144,1.6703842254,0.1386931798
20130630,CAH,17770,25819,95909,3686,380,1929,2309,14590,19844,334,101093,553,0.0558995816,3.9154498625,3.3211715481,0.0033038885
20130630,CRS,1281.5,2882.9,1730.4,604.2,104.1,244.4,348.5,421.2,1579.8,146.1,2271.7,70.3,0.1121172588,0.7879912588,1.2123398051,0.0643130695
20130131,CASC,228.908,425.672,365.238,3.5,10.802,70.235,81.037,50.051,79.169,46.852,538.408,20.252,0.1352138365,1.2648424139,0.2284799843,0.0870195094
20130430,CASY,272.817,1984.018,5572.475,653.081,111.823,210.177,322,397.748,1381.723,110.625,6654.84,64.504,0.1836724529,3.3542236008,2.2940967466,0.0166232396
20130131,CATO,390.214,532.646,581.961,0,22.455,97.316,119.771,159.602,187.412,61.668,944.048,37.303,0.1786266706,1.7723741472,0.5428549911,0.0653229497
20130331,CVCO,194.382,444.499,347.935,72.118,4.01,21.042,25.052,87.005,175.615,4.963,452.3,6.351,0.0184577736,1.0175500957,0.6531255114,0.0109728057
20130731,CMN,150.66,487.671,224.11,85,17.263,64.475,81.738,59.151,166.539,39.239,425.026,21.115,0.1221896292,0.8715424948,0.5185998281,0.0923214109
20130630,EAT,198.591,1452.603,2306.004,780.121,131.481,265.162,396.643,390.211,1303.246,163.359,2846.098,66.956,1.0937485354,1.9593089096,8.7257108806,0.0573975316
20130531,CTAS,1624.826,4345.632,2362.14,1300.979,165.664,558.311,723.975,556.256,2144.14,315.442,4316.471,184.466,0.1432855536,0.9932895837,0.9739485767,0.0730786793
